"","kingdom","phylum","class","order","family","genus","species"
"152","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hemixesma","Hemixesma anthocrenias"
"153","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Argyrophora","Argyrophora variabilis"
"154","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lacipa","Lacipa nobilis"
"155","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phalanta","Phalanta phalantha"
"156","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amerila","Amerila phaedra"
"157","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ctenoplusia","Ctenoplusia furcifera"
"158","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Metisella","Metisella metis"
"159","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Glaucocharis","Glaucocharis natalensis"
"160","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Precis","Precis octavia"
"161","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pardopsis","Pardopsis punctatissima"
"162","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Menophra","Menophra obtusata"
"163","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chloropoea","Chloropoea boisduvalii"
"164","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Menophra","Menophra serrataria"
"165","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Argema","Argema mimosae"
"166","Animalia","Arthropoda","Insecta","Lepidoptera","Ethmiidae","Ethmia","Ethmia circumdatella"
"167","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Attatha","Attatha attathoides"
"168","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Diasemia","Diasemia monostigma"
"169","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Bunaeopsis","Bunaeopsis arabella"
"170","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Afromurzinia","Afromurzinia lutescens"
"171","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Zamarada","Zamarada metallicata"
"172","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lysceia","Lysceia flava"
"173","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Tarsocera","Tarsocera cassina"
"174","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Drepanogynis","Drepanogynis mixtaria"
"175","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Stemmatophalera","Stemmatophalera sjostedti"
"176","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Scopula","Scopula dissonans"
"177","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Junonia","Junonia oenone"
"178","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amata","Amata cerbera"
"179","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Azanus","Azanus jesous"
"180","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Pseudolyra","Pseudolyra distincta"
"181","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Belenois","Belenois aurota"
"182","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Antheuella","Antheuella flavida"
"183","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eyralpenus","Eyralpenus testacea"
"184","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Janomima","Janomima dannfelti"
"185","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Scopula","Scopula hectata"
"186","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Arctornis","Arctornis melanocraspis"
"187","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Plutographa","Plutographa encharacta"
"188","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","Azygophleps","Azygophleps inclusa"
"189","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Tracheplexia","Tracheplexia albimacula"
"190","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Salamis","Protogoniomorpha parhassus"
"191","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dira","Dira clytus"
"192","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dasychira","Dasychira rocana"
"193","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Erastria","Erastria madecassaria"
"194","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Mylothris","Mylothris rueppellii"
"195","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","Azygophleps","Azygophleps asylas"
"196","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lhommeia","Lhommeia subapicata"
"197","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Cephonodes","Cephonodes hylas"
"198","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Calliodes","Calliodes pretiosissima"
"199","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crocidolomia","Crocidolomia pavonana"
"200","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ascotis","Ascotis reciprocaria"
"201","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chiasmia","Chiasmia subcurvaria"
"202","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Zeritis","Zeritis chrysaor"
"203","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Serrodes","Serrodes trispila"
"204","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pelopidas","Pelopidas thrax"
"205","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Daphnis","Daphnis nerii"
"206","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus","Crambus sparsellus"
"207","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Negeta","Negeta ruficeps"
